qPCR_plate 19.8.2014;;;;;;;;;;;;;;;;;;;;;;;;
;RPS49;;;;;;;;Vg-like-A1;;;;;;;;Vg-like-B1;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
A;1t1;1c1;1i1;9t1;9c1;9i1;4t1;4c1;1t1;1c1;1i1;9t1;9c1;9i1;4t1;4c1;1t1;1c1;1i1;9t1;9c1;9i1;4t1;4c1
B;;;;;;;;;;;;;;;;;;;;;;;;
C;1t2;1c2;1i2;9t2;9c2;9i2;4t2;4c2;1t2;1c2;1i2;9t2;9c2;9i2;4t2;4c2;1t2;1c2;1i2;9t2;9c2;9i2;4t2;4c2
D;;;;;;;;;;;;;;;;;;;;;;;;
E;1t3;1c3;1i3;9t3;9c3;9i3;4t3;4c3;1t3;1c3;1i3;9t3;9c3;9i3;4t3;4c3;1t3;1c3;1i3;9t3;9c3;9i3;4t3;4c3
F;;;;;;;;;;;;;;;;;;;;;;;;
G;1t4;1c4;1i4;9t4;9c4;9i4;4t4;4c4;1t4;1c4;1i4;9t4;9c4;9i4;4t4;4c4;1t4;1c4;1i4;9t4;9c4;9i4;4t4;4c4
H;;;;;;;;;;;;;;;;;;;;;;;;
I;1t5;1c5;1i5;9t5;9c5;9i5;4t6;4c5;1t5;1c5;1i5;9t5;9c5;9i5;4t6;4c5;1t5;1c5;1i5;9t5;9c5;9i5;4t6;4c5
J;;;;;;;;;;;;;;;;;;;;;;;;
K;1t6;1c6;1i6;9t6;9c6;9i6;4t7;4c6;1t6;1c6;1i6;9t6;9c6;9i6;4t7;4c6;1t6;1c6;1i6;9t6;9c6;9i6;4t7;4c6
L;;;;;;;;;;;;;;;;;;;;;;;;
M;1t7;1c7;1i7;9t7;9c7;9i7;4t8;4c7;1t7;1c7;1i7;9t7;9c7;9i7;4t8;4c7;1t7;1c7;1i7;9t7;9c7;9i7;4t8;4c7
N;;;;;;;;;;;;;;;;;;;;;;;;
O;1t8;1c8;1i8;9t8;9c8;9i8;4t9;4c8;1t8;1c8;1i8;9t8;9c8;9i8;4t9;4c8;1t8;1c8;1i8;9t8;9c8;9i8;4t9;4c8
P;;;;;;;;;;;;;;;;;;;;;;;;
