;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;RPS49;Unkn;;18,5174670541864;NaN
;A02;SYBR;RPS49;Unkn;;18,3657575092601;NaN
;A03;SYBR;Vg;Unkn;;26,993699528079;NaN
;A04;SYBR;Vg;Unkn;;27,5679114372994;NaN
;A05;SYBR;A1;Unkn;;31,6281798458571;NaN
;A06;SYBR;A1;Unkn;;32,2471614080299;NaN
;A07;SYBR;;Unkn;;NaN;NaN
;A08;SYBR;;Unkn;;NaN;NaN
;A09;SYBR;;Unkn;;NaN;NaN
;A10;SYBR;;Unkn;;NaN;NaN
;A11;SYBR;;Unkn;;NaN;NaN
;A12;SYBR;;Unkn;;NaN;NaN
;A13;SYBR;;Unkn;;NaN;NaN
;A14;SYBR;;Unkn;;NaN;NaN
;A15;SYBR;;Unkn;;NaN;NaN
;A16;SYBR;;Unkn;;NaN;NaN
;A17;SYBR;;Unkn;;NaN;NaN
;A18;SYBR;;Unkn;;NaN;NaN
;A19;SYBR;;Unkn;;NaN;NaN
;A20;SYBR;;Unkn;;NaN;NaN
;A21;SYBR;;Unkn;;NaN;NaN
;A22;SYBR;;Unkn;;NaN;NaN
;A23;SYBR;;Unkn;;NaN;NaN
;A24;SYBR;;Unkn;;NaN;NaN
;B01;SYBR;RPS49;Unkn;;20,5649408439903;NaN
;B02;SYBR;RPS49;Unkn;;20,5989852134345;NaN
;B03;SYBR;Vg;Unkn;;25,8498876959879;NaN
;B04;SYBR;Vg;Unkn;;26,1580155104204;NaN
;B05;SYBR;A1;Unkn;;30,1835236021774;NaN
;B06;SYBR;A1;Unkn;;30,6595040762077;NaN
;B07;SYBR;;Unkn;;NaN;NaN
;B08;SYBR;;Unkn;;NaN;NaN
;B09;SYBR;;Unkn;;NaN;NaN
;B10;SYBR;;Unkn;;NaN;NaN
;B11;SYBR;;Unkn;;NaN;NaN
;B12;SYBR;;Unkn;;NaN;NaN
;B13;SYBR;;Unkn;;NaN;NaN
;B14;SYBR;;Unkn;;NaN;NaN
;B15;SYBR;;Unkn;;NaN;NaN
;B16;SYBR;;Unkn;;NaN;NaN
;B17;SYBR;;Unkn;;NaN;NaN
;B18;SYBR;;Unkn;;NaN;NaN
;B19;SYBR;;Unkn;;NaN;NaN
;B20;SYBR;;Unkn;;NaN;NaN
;B21;SYBR;;Unkn;;NaN;NaN
;B22;SYBR;;Unkn;;NaN;NaN
;B23;SYBR;;Unkn;;NaN;NaN
;B24;SYBR;;Unkn;;NaN;NaN
;C01;SYBR;RPS49;Unkn;;17,4120195974741;NaN
;C02;SYBR;RPS49;Unkn;;18,068378472114;NaN
;C03;SYBR;Vg;Unkn;;NaN;NaN
;C04;SYBR;Vg;Unkn;;NaN;NaN
;C05;SYBR;A1;Unkn;;32,1306582211174;NaN
;C06;SYBR;A1;Unkn;;31,3655445341834;NaN
;C07;SYBR;;Unkn;;NaN;NaN
;C08;SYBR;;Unkn;;NaN;NaN
;C09;SYBR;;Unkn;;NaN;NaN
;C10;SYBR;;Unkn;;NaN;NaN
;C11;SYBR;;Unkn;;NaN;NaN
;C12;SYBR;;Unkn;;NaN;NaN
;C13;SYBR;;Unkn;;NaN;NaN
;C14;SYBR;;Unkn;;NaN;NaN
;C15;SYBR;;Unkn;;NaN;NaN
;C16;SYBR;;Unkn;;NaN;NaN
;C17;SYBR;;Unkn;;NaN;NaN
;C18;SYBR;;Unkn;;NaN;NaN
;C19;SYBR;;Unkn;;NaN;NaN
;C20;SYBR;;Unkn;;NaN;NaN
;C21;SYBR;;Unkn;;NaN;NaN
;C22;SYBR;;Unkn;;NaN;NaN
;C23;SYBR;;Unkn;;NaN;NaN
;C24;SYBR;;Unkn;;NaN;NaN
;D01;SYBR;RPS49;Unkn;;22,9632528704281;NaN
;D02;SYBR;RPS49;Unkn;;23,2501594731465;NaN
;D03;SYBR;Vg;Unkn;;29,3627489406868;NaN
;D04;SYBR;Vg;Unkn;;30,0467010830251;NaN
;D05;SYBR;A1;Unkn;;33,0362299686614;NaN
